"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\1DV610\L3A\public\js\showFile.js", "JavaScript", 175, 14, 30, 219
"d:\1DV610\L3A\public\js\simple-analyzerUI.js", "JavaScript", 56, 3, 12, 71
"d:\1DV610\L3A\public\js\simple-formatterUI.js", "JavaScript", 99, 4, 21, 124
"d:\1DV610\L3A\public\js\simple-moodEngineUI.js", "JavaScript", 263, 4, 38, 305
"d:\1DV610\L3A\public\js\simple-reverserUI.js", "JavaScript", 128, 4, 28, 160
"d:\1DV610\L3A\public\js\simple-searcherUI.js", "JavaScript", 101, 3, 26, 130
"d:\1DV610\L3A\public\js\simple-textForensicsUI.js", "JavaScript", 197, 5, 27, 229
"d:\1DV610\L3A\public\js\simple-textGamingUI.js", "JavaScript", 544, 14, 95, 653
"d:\1DV610\L3A\public\js\simple-transformerUI.js", "JavaScript", 116, 2, 18, 136
"d:\1DV610\L3A\public\js\simple-wordOptimizerUI.js", "JavaScript", 121, 3, 18, 142
"d:\1DV610\L3A\public\js\ui-utilities.js", "JavaScript", 115, 62, 29, 206
"Total", "-", 1915, 118, 342, 2375
